first_cmt,forum_links,last_posts,posts,stock_names
Closed at 0.855. Tomorrow again drops to 0.840 then closed again at 0.855. Lol,/servlets/forum/800001190.jsp?fp=3,"Mar 20, 05:19 PM","10,882",Stock: [YTLPOWR]: YTL POWER INTERNATIONAL BHD
took profit RM1.63,/servlets/forum/800001313.jsp?fp=3,"Mar 20, 05:17 PM","8,078",Stock: [POHUAT]: POH HUAT RESOURCES HOLDINGS BHD
Seems like Media can influence manipulations,/servlets/forum/800001512.jsp?fp=3,"Mar 20, 05:14 PM","5,965",Stock: [BARAKAH]: BARAKAH OFFSHORE PETROLEUM BHD
chinese version  https://klse.i3investor.com/blogs/InvesthorsHammer/198822.jsp,/servlets/forum/800000156.jsp?fp=3,"Mar 20, 05:09 PM",826,Stock: [GREENYB]: GREENYIELD BHD
haah  hahahahahhahahaha see I said up comfirm uppppppppppppppppppppppppppppppp...,/servlets/forum/800001476.jsp?fp=3,"Mar 20, 05:06 PM",758,Stock: [EMETALL]: EONMETALL GROUP BHD
"If VT no save this berjaya , no one can share price will 27 to 30sen forever  ...",/servlets/forum/800000556.jsp?fp=3,"Mar 20, 05:05 PM","34,696",Stock: [BJCORP]: BERJAYA CORP BHD
"Factory close??? Fake news la, many students, teachers, n workers wanna makan ...",/servlets/forum/800005999.jsp?fp=3,"Mar 20, 05:04 PM","5,384",Stock: [LCTITAN]: LOTTE CHEMICAL TITAN HOLDINGS BHD
Drop... no power,/servlets/forum/800000838.jsp?fp=3,"Mar 20, 05:01 PM","1,058",Stock: [POHKONG]: POH KONG HOLDINGS BHD
bullish trend seen moving forward,/servlets/forum/800000394.jsp?fp=3,"Mar 20, 04:58 PM",943,Stock: [BURSA]: BURSA MALAYSIA BHD
MATERIAL LITIGATION APFT BERHAD  Originating Summons No. WA-22NCC-118-03/2019 ...,/servlets/forum/800001016.jsp?fp=3,"Mar 20, 04:57 PM","4,091",Stock: [APFT]: APFT BHD
Sure buy more at 1.00...,/servlets/forum/800000106.jsp?fp=3,"Mar 20, 04:55 PM","1,646",Stock: [ELSOFT]: ELSOFT RESEARCH BHD
yay yay,/servlets/forum/800000614.jsp?fp=3,"Mar 20, 04:46 PM","3,037",Stock: [MAGNUM]: MAGNUM BHD
gone case  - trap  bdb,/servlets/forum/800001142.jsp?fp=3,"Mar 20, 04:43 PM",762,Stock: [BDB]: BINA DARULAMAN BHD
Hmmm....got abit buying force but still weak...still waiting...hehe,/servlets/forum/800001546.jsp?fp=3,"Mar 20, 04:43 PM","6,161",Stock: [AWC]: AWC BHD
Recently all oil store up like crazy except this stupid store.fkkk.go Holland ...,/servlets/forum/800003672.jsp?fp=3,"Mar 20, 04:42 PM","15,899",Stock: [REACH]: REACH ENERGY BHD
form shooting star.. ! tomorrow will gap up.,/servlets/forum/800003850.jsp?fp=3,"Mar 20, 04:41 PM","4,354",Stock: [CARIMIN]: CARIMIN PETROLEUM BHD
曙光前的暴风雨,/servlets/forum/800000100.jsp?fp=3,"Mar 20, 04:39 PM","6,166",Stock: [MLAB]: MLABS SYSTEMS BHD
What is the paid up capital of Fortress Mines?,/servlets/forum/800000451.jsp?fp=3,"Mar 20, 04:39 PM",311,Stock: [SDRED]: SELANGOR DREDGING BHD
"Malaysia, Singapore should have three to four connecting bridges, Dr M says ht...",/servlets/forum/800001063.jsp?fp=3,"Mar 19, 03:54 PM","10,663",Stock: [TROP]: TROPICANA CORP BHD
can u smell wat dutayap is cooking..,/servlets/forum/800000635.jsp?fp=3,"Mar 20, 04:31 PM","7,192",Stock: [DUTALND]: DUTALAND BHD
The big fish is in hot waters struggling in the coral reef.,/servlets/forum/800001013.jsp?fp=3,"Mar 20, 04:29 PM",596,Stock: [KSSC]: K. SENG SENG CORP BHD
"as I say this glomac cannot go anyway already , just wait they give dividend o...",/servlets/forum/800000775.jsp?fp=3,"Mar 20, 04:27 PM","1,136",Stock: [GLOMAC]: GLOMAC BHD
gap up tmr？,/servlets/forum/800000971.jsp?fp=3,"Mar 20, 04:27 PM","3,977",Stock: [SCABLE]: SARAWAK CABLE BHD
yalor,/servlets/forum/800001505.jsp?fp=3,"Mar 20, 04:24 PM","1,707",Stock: [BIOOSMO]: BIO OSMO BHD
When the new CEO coming ??,/servlets/forum/800001039.jsp?fp=3,"Mar 20, 04:15 PM","3,300",Stock: [TENAGA]: TENAGA NASIONAL BHD
"Prudentinvestor, can you share the link? I checked on Bursa and on my web brow...",/servlets/forum/800000309.jsp?fp=3,"Mar 20, 04:15 PM","1,628",Stock: [RHBBANK]: RHB BANK BHD
WINDING UP PETITIONS AGAINST SUMATEC RESOURCES BERHAD BY MALAYSIAN TRUSTEES BE...,/servlets/forum/800000333.jsp?fp=3,"Mar 20, 03:35 PM","149,806",Stock: [SUMATEC]: SUMATEC RESOURCES BHD
Don't think can rebound much.,/servlets/forum/800001364.jsp?fp=3,"Mar 20, 04:10 PM","1,290",Stock: [LONBISC]: LONDON BISCUITS BHD
"new name very ong ma, my scam..",/servlets/forum/800000049.jsp?fp=3,"Mar 20, 04:02 PM",892,Stock: [MYSCM]: PANPAGES BHD
"i was working for careplus as warehouse exec,i quit after 1 year,no bonus,bad ...",/servlets/forum/800000181.jsp?fp=3,"Mar 20, 04:00 PM","2,271",Stock: [CAREPLS]: CAREPLUS GROUP BHD
see my postings after the below...on methane  Posted by Fabien Extraordinaire ...,/servlets/forum/800000989.jsp?fp=3,"Mar 20, 03:54 PM","1,166",Stock: [PCHEM]: PETRONAS CHEMICALS GROUP BHD
己所不欲，勿施於人。,/servlets/forum/800000669.jsp?fp=3,"Mar 20, 03:08 PM","19,840",Stock: [LIONIND]: LION INDUSTRIES CORP BHD
"contra players still a lot . ""BO CHAI SI""",#,"Mar 20, 03:35 PM","3,859",
"contra players still a lot . ""BO CHAI SI""",/servlets/forum/800001703.jsp?fp=4,"Mar 20, 03:35 PM","3,859",Stock: [FITTERS]: FITTERS DIVERSIFIED BHD
Buyyyyyyyyyyyyyyyyyyyy!!!,/servlets/forum/800001237.jsp?fp=4,"Mar 20, 03:28 PM","1,002",Stock: [KOMARK]: KOMARKCORP BHD
"close eye also know , it will blast to next level high , all iron metal counte...",/servlets/forum/800001173.jsp?fp=4,"Mar 20, 12:52 PM","6,737",Stock: [ANNJOO]: ANN JOO RESOURCES BHD
"tomorrow down, if not the next day, if not another next day and story goes on....",/servlets/forum/800004494.jsp?fp=4,"Mar 12, 09:40 PM","52,041",Stock: [HSI-HQ]: 
We wants Anwar PM. Tun M pls resign.,/servlets/forum/800003587.jsp?fp=4,"Mar 20, 03:21 PM","5,311",Stock: [ICON]: ICON OFFSHORE BHD
warrant delisted.. earthquake soon,/servlets/forum/800000114.jsp?fp=4,"Mar 20, 03:11 PM","6,151",Stock: [XINGHE]: XINGHE HOLDINGS BERHAD
Dropping ...  :(,/servlets/forum/800006175.jsp?fp=4,"Mar 20, 03:09 PM",13,Stock: [BAHVEST-WA]: BORNEO AQUA HARVEST BERHAD
